Churn_1_PREDICTION,Churn_0_PREDICTION,Churn_PREDICTION,THRESHOLD,POSITIVE_CLASS,DEPLOYMENT_APPROVAL_STATUS,Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
0.035977656,0.964022344,0,0.5,1,APPROVED,Paula Harris,30.0,11575.37,1,5.22,8.0,2016-11-13 13:13:01,Unit 8120 Box 9160 DPO AA 43432,"Briggs, Lamb and Mathews",1
0.6867474829,0.3132525171,1,0.5,1,APPROVED,Bruce Phillips,45.0,8771.02,1,6.64,11.0,2015-05-28 12:14:03,Unit 1895 Box 0949 DPO AA 40249,Figueroa-Maynard,1
0.4878772865,0.5121227135,0,0.5,1,APPROVED,Craig Garner,45.0,8988.67,1,4.84,11.0,2011-02-16 08:10:47,"897 Kelley Overpass Suite 349 West Rebekahport, AZ 44793",Abbott-Thompson,1
0.8745591511,0.1254408489,1,0.5,1,APPROVED,Nicole Olson,40.0,8283.32,1,5.1,13.0,2012-11-22 05:35:03,"11488 Weaver Cape Hernandezberg, WI 63417-8544","Smith, Kim and Marshall",1
0.3874801803,0.6125198197,0,0.5,1,APPROVED,Harold Griffin,41.0,6569.87,1,4.3,11.0,2015-03-28 02:13:44,"1774 Peter Row Apt. 712 New Autumn, MT 18782","Snyder, Lee and Morris",1
0.8260086697,0.1739913303,1,0.5,1,APPROVED,James Wright,38.0,10494.82,1,6.81,12.0,2015-07-22 08:38:40,"45408 David Path East Kimberlyshire, HI 54903-6698",Sanders-Pierce,1
0.7426244267,0.2573755733,1,0.5,1,APPROVED,Doris Wilkins,45.0,8213.41,1,7.35,11.0,2006-09-03 06:13:55,"28216 Wright Mount Apt. 356 Alichester, DE 40999-2369","Andrews, Adams and Davis",1
0.88767536,0.11232464,1,0.5,1,APPROVED,Katherine Carpenter,43.0,11226.88,0,8.08,12.0,2006-10-22 04:42:38,Unit 4948 Box 4814 DPO AP 42669,"Morgan, Phillips and Harrell",1
0.111736968,0.888263032,0,0.5,1,APPROVED,Lindsay Martin,53.0,5515.09,0,6.85,8.0,2015-10-07 00:27:10,"69203 Crosby Divide Apt. 878 Parkerview, CO 87064",Villanueva LLC,1
0.0787602067,0.9212397933,0,0.5,1,APPROVED,Kathy Curry,46.0,8046.4,1,5.69,8.0,2014-11-06 23:47:14,"9569 Caldwell Crescent Tanyaborough, RI 30637","Berry, Orr and Cabrera",1
0.4935110534,0.5064889466,0,0.5,1,APPROVED,Dean Miller,41.0,9771.22,0,5.81,11.0,2013-05-30 00:42:13,"803 Kelli Crossing Apt. 169 Jimenezberg, WV 56530-4240",Parks-Bradley,1
0.7310209127,0.2689790873,1,0.5,1,APPROVED,Kevin Ramos,56.0,12217.95,1,5.79,11.0,2016-11-17 14:37:01,"5775 Jared Stream Apt. 881 Port Jenniferfort, CO 63506-4063",Olsen LLC,1
0.6096702462,0.3903297538,1,0.5,1,APPROVED,Jennifer Wood,35.0,9381.12,1,6.78,11.0,2006-03-27 20:52:42,"1493 Phillips Haven Lake William, FM 00995-2870","Clark, Campbell and Armstrong",1
0.7651515916,0.2348484084,1,0.5,1,APPROVED,Paul Walker,41.0,10474.94,0,6.4,12.0,2012-01-02 05:08:52,"73006 Patty Avenue Apt. 646 New Sarahburgh, NV 24826",Dalton LLC,1
0.3561507158,0.6438492842,0,0.5,1,APPROVED,Lindsey Day,55.0,11158.5,1,4.86,10.0,2007-01-07 01:21:47,"85934 Dakota Mall Timothyville, MI 72421","Thompson, Hansen and Sanchez",1
0.4388459306,0.5611540694,0,0.5,1,APPROVED,Steven Hernandez,54.0,8207.1,0,4.26,11.0,2015-04-05 15:57:24,"14609 Perez Turnpike Bradleyberg, DE 99755","Yates, Martinez and Cox",1
0.2941260273,0.7058739727,0,0.5,1,APPROVED,Danielle Kirk,35.0,12403.81,0,4.42,11.0,2007-07-31 06:39:54,"20117 Johnson Ports Apt. 914 Jenniferfort, DC 40595",Reeves-Curtis,1
0.6795032765,0.3204967235,1,0.5,1,APPROVED,Troy Oliver,40.0,10041.13,0,7.61,11.0,2006-07-30 15:27:23,USCGC Blake FPO AA 66377-6894,Gates Ltd,1
0.4594374636,0.5405625364,0,0.5,1,APPROVED,Darlene Evans,44.0,12721.55,0,5.18,11.0,2011-04-25 02:53:25,"950 Christina Viaduct Anastad, IL 03324-2274",Dunlap and Sons,1
0.2691292481,0.7308707519,0,0.5,1,APPROVED,Mrs. Sarah Morales,37.0,8284.89,1,5.6,10.0,2009-03-25 06:10:01,"8807 Young Village Joneston, AR 56462","Taylor, Allen and Gardner",1
0.0810813477,0.9189186523,0,0.5,1,APPROVED,Laura Pierce,54.0,10661.48,1,5.16,8.0,2011-12-26 22:06:03,"PSC 3912, Box 7208 APO AA 23623",Charles-Branch,1
0.2548237319,0.7451762681,0,0.5,1,APPROVED,Carla Ball,45.0,10793.11,1,4.65,10.0,2016-12-28 04:07:38,"754 Shannon Mall South Shawn, AS 29886-0448",Barton Inc,1
0.2983125065,0.7016874935,0,0.5,1,APPROVED,Robert Hill,46.0,9322.44,1,2.69,11.0,2010-11-16 13:22:18,"2088 Kelli Way Millertown, MT 37058","Stevens, Harris and Greene",1
0.765830051,0.234169949,1,0.5,1,APPROVED,Joseph Harrell,44.0,9814.22,1,5.45,12.0,2010-01-23 07:15:58,USCGC Bell FPO AE 94532,"Fitzgerald, Sherman and Lowe",1
0.5393500543,0.4606499457,1,0.5,1,APPROVED,Tammy Shepherd,48.0,11740.0,1,4.97,11.0,2011-03-06 01:34:58,"234 Gonzalez Terrace Santiagohaven, CO 28918-5500",Martin Ltd,1
0.4401573429,0.5598426571,0,0.5,1,APPROVED,Kelly Carroll,37.0,14383.36,0,7.84,10.0,2011-04-05 00:21:51,"8268 Baker Rapid Suite 712 Alexiston, TN 05207-2057","Juarez, Pugh and Vargas",1
0.6973431639,0.3026568361,1,0.5,1,APPROVED,Heidi Munoz,38.0,11887.39,0,5.83,12.0,2009-10-15 17:14:01,USCGC Mason FPO AA 96632-5067,Mckinney-Rogers,1
0.8560567581,0.1439432419,1,0.5,1,APPROVED,Thomas Sawyer,48.0,10367.08,1,6.45,12.0,2008-10-06 17:15:00,"8113 Rodriguez Court Sheribury, SC 88474","Lopez, Kelly and Armstrong",1
0.6866831533,0.3133168467,1,0.5,1,APPROVED,Erin Rivera,37.0,8198.06,1,5.04,12.0,2016-11-06 01:13:12,"34727 Randy Prairie Apt. 275 South Pamelashire, AS 63214-4216","Wilkins, White and Martin",1
0.6130762417,0.3869237583,1,0.5,1,APPROVED,Raymond Berry,41.0,7777.37,0,4.81,12.0,2014-01-20 08:53:20,"75210 Mark Mill Apt. 397 Donnamouth, MA 40404-7466","Evans, Logan and Wilson",1
0.8203076536,0.1796923464,1,0.5,1,APPROVED,Patrick Bell,41.0,11699.26,0,6.99,12.0,2010-03-31 14:45:01,"93345 Monique Tunnel Apt. 431 North Chase, NJ 30518",Clark-Kramer,1
0.1580451405,0.8419548595,0,0.5,1,APPROVED,Jason Jones MD,55.0,16838.94,1,6.66,8.0,2007-10-05 15:48:38,"52454 Jessica Passage Apt. 097 Mitchellburgh, AS 30584-9004",Brown-Richardson,1
0.6092501923,0.3907498077,1,0.5,1,APPROVED,Jermaine Johnson,36.0,10484.33,1,8.84,10.0,2008-04-29 09:07:51,"4102 Griffin Courts Middletonton, FM 48608","Dunlap, Hughes and Taylor",1
0.7127806853,0.2872193147,1,0.5,1,APPROVED,George Archer,37.0,8736.06,1,5.51,12.0,2014-12-23 19:38:52,"5645 Henderson Streets Brandystad, CA 92343",Smith Inc,1
0.1955542728,0.8044457272,0,0.5,1,APPROVED,Richard Fields,50.0,10850.78,1,5.63,9.0,2010-06-18 07:10:58,"451 Flynn Streets Morenobury, NE 64722-7132",Brown-Bishop,1
0.7120663922,0.2879336078,1,0.5,1,APPROVED,Amanda Roberts,43.0,8601.01,0,5.65,12.0,2007-02-03 17:52:51,"PSC 9561, Box 4071 APO AA 92200-5783",Evans LLC,1
0.5836699749,0.4163300251,1,0.5,1,APPROVED,David Kennedy,45.0,11170.06,1,7.76,10.0,2011-01-26 19:05:24,"56990 Laurie Gardens Suite 145 West Tara, OH 24389",Williams-Hoffman,1
0.7500908407,0.2499091593,1,0.5,1,APPROVED,Adam Waters,40.0,11185.62,0,6.26,12.0,2006-03-06 18:36:47,"6040 Juan Forge Parrishville, NJ 27948",Reed Ltd,1
0.1197459973,0.8802540027,0,0.5,1,APPROVED,Patricia Elliott,36.0,9793.42,0,5.98,9.0,2007-11-27 12:24:48,"9072 Martinez Squares Suite 404 New Emilystad, NH 26441-4895",Ortiz Ltd,1
0.3061259419,0.6938740581,0,0.5,1,APPROVED,Summer Haley,43.0,12524.68,0,5.98,10.0,2010-05-27 04:46:05,"312 Wilson Oval Suite 872 East Michaeltown, MN 40127-6212","White, Vargas and Moore",1
0.2339306255,0.7660693745,0,0.5,1,APPROVED,Brittany Jackson,50.0,12682.9,0,4.58,10.0,2006-09-11 07:07:17,"082 Roth Island Daniellefurt, DE 69027-7185",Mcdonald-Cooper,1
0.5257250902,0.4742749098,1,0.5,1,APPROVED,Shawn Chavez,44.0,14036.28,1,7.25,10.0,2009-01-30 01:58:56,"42028 Hampton Flat Apt. 206 North Samuelburgh, ME 73072","Carter, Murphy and Valenzuela",1
0.342377468,0.657622532,0,0.5,1,APPROVED,Laura Fleming,41.0,10179.92,1,5.97,10.0,2010-02-25 00:17:52,"7023 Courtney Lodge Suite 935 Coxtown, NE 89508","Knight, Hammond and Mccoy",1
0.2300387964,0.7699612036,0,0.5,1,APPROVED,Marcus Garza,46.0,12772.72,1,6.46,9.0,2010-07-03 18:56:05,"06806 Lyons Drive Apt. 864 Port Michaelview, MH 56506","Holland, Jones and Schmidt",1
0.7286482331,0.2713517669,1,0.5,1,APPROVED,Heather Murphy,46.0,12122.19,0,7.53,11.0,2015-12-30 18:49:35,"1264 Williams Views Suite 114 Port Isaac, VI 31105-1539","Petersen, Howard and Bowen",1
0.4669868564,0.5330131436,0,0.5,1,APPROVED,Jeffrey Hill,40.0,9922.3,1,5.07,11.0,2006-09-22 20:58:51,"97907 Jensen Forge Brianmouth, MH 69993-8000","Williams, Bautista and Carr",1
0.5610721759,0.4389278241,1,0.5,1,APPROVED,Amy Griffin,48.0,4771.65,0,3.77,12.0,2007-06-19 04:30:13,"062 Trevor Falls Suite 665 North Mathewchester, MH 93744",Larson-Hall,1
0.2127396261,0.7872603739,0,0.5,1,APPROVED,Michelle Hill,42.0,10827.96,1,4.2,10.0,2008-11-10 19:35:05,"45946 Day Springs Mendozastad, NJ 46404","Pierce, Peterson and Maldonado",1
0.4049512957,0.5950487043,0,0.5,1,APPROVED,David Rodriguez,38.0,8642.01,1,4.76,11.0,2014-08-13 17:14:07,"7318 Graham Ville Apt. 633 Gibsonview, MI 04337-6720",Walker-Baker,1
0.9549894587,0.0450105413,1,0.5,1,APPROVED,Daniel Bartlett,45.0,6749.49,0,5.88,14.0,2006-08-19 17:13:19,"353 Gregory Spur Mariaburgh, KY 66125",Owens Group,1
0.4607170826,0.5392829174,0,0.5,1,APPROVED,Cheyenne Rogers,36.0,6447.99,1,5.52,11.0,2009-05-07 22:19:35,"58379 Amber Knoll Blackburgh, MH 69646-4368",Evans LLC,1
0.2980497635,0.7019502365,0,0.5,1,APPROVED,Seth Lopez,44.0,11091.21,0,5.9,10.0,2007-07-10 15:33:56,Unit 2311 Box 4695 DPO AA 98374,Hodges LLC,1
0.3914725895,0.6085274105,0,0.5,1,APPROVED,Brittany Hopkins,55.0,5024.52,0,8.11,9.0,2010-02-10 10:22:37,"2529 King Knoll Apt. 210 Michelleshire, NH 14266",Dixon-Love,1
0.8510212118,0.1489787882,1,0.5,1,APPROVED,Carla Patterson,58.0,12376.37,0,6.01,12.0,2007-12-08 08:05:11,"350 Gregory Isle South Tinaland, WI 44398","Pittman, Watts and Fitzgerald",1
0.120974421,0.879025579,0,0.5,1,APPROVED,Michelle Holloway,49.0,12458.8,0,5.04,9.0,2013-01-21 13:44:09,"6431 Kimberly Harbors South Dylan, MS 05388-2846","Martinez, Clark and Jackson",1
0.6137161413,0.3862838587,1,0.5,1,APPROVED,Kenneth Bryant,47.0,7222.35,0,6.41,11.0,2015-06-27 10:57:19,"274 Randy Ports Apt. 228 Gomezside, KY 96667-1028",Davis and Sons,1
0.5916005021,0.4083994979,1,0.5,1,APPROVED,Cody Williams,38.0,11758.69,0,6.97,11.0,2016-08-14 18:04:40,USNS Lewis FPO AE 38853,"Farley, Clark and Peterson",1
0.5230830443,0.4769169557,1,0.5,1,APPROVED,Lori Ross,55.0,8772.0,1,6.43,10.0,2006-03-01 20:57:16,"65806 Dean Plaza Apt. 089 West Jacobfort, AR 83049","Butler, Harrison and Hall",1
0.5129698134,0.4870301866,1,0.5,1,APPROVED,David Montes,45.0,7351.38,0,5.76,11.0,2016-10-06 23:11:34,"666 Julie Ports Apt. 094 South Johntown, MO 10168-2804",Watson-Hall,1
0.0675535128,0.9324464872,0,0.5,1,APPROVED,Robin Rowe,30.0,7960.64,1,2.72,10.0,2016-04-15 12:08:15,"87953 Fuller Turnpike Apt. 510 Russellstad, MH 32784-9434","Bradley, Mejia and Williams",1
0.3750882903,0.6249117097,0,0.5,1,APPROVED,Amber Spears,41.0,13365.66,1,8.36,9.0,2008-07-26 03:00:31,"455 Garcia Via Suite 177 Lake Jefferyside, MN 81187",Gray Inc,1
0.277226219,0.722773781,0,0.5,1,APPROVED,Kathy Johnson,32.0,8617.98,1,6.2,10.0,2008-05-14 16:07:30,"570 Smith Mountains Hunterview, OK 46533",Jordan-Murphy,1
0.706337643,0.293662357,1,0.5,1,APPROVED,Thomas Rose,52.0,11849.13,0,6.8,11.0,2012-08-18 09:16:47,"9928 Lawson Court Andersonborough, KS 54353-7605","Lynch, Padilla and Myers",1
0.5247996568,0.4752003432,1,0.5,1,APPROVED,Sandra Williams,37.0,11145.95,1,5.87,11.0,2013-01-10 10:11:44,"0728 Melton Avenue Robertville, KY 71675-3667",Baker Ltd,1
0.5041208569,0.4958791431,1,0.5,1,APPROVED,Nathan Murphy,42.0,9577.42,0,5.86,11.0,2012-01-18 00:52:28,"34489 Andrew Wells North Charlesport, RI 48537",Deleon Ltd,1
0.890405569,0.109594431,1,0.5,1,APPROVED,Ryan Weaver,39.0,10110.4,1,5.78,13.0,2009-03-10 21:58:42,"8306 Nicole Lane Moranmouth, PR 36299","Keith, Richardson and Thomas",1
0.553602108,0.446397892,1,0.5,1,APPROVED,Jennifer King,43.0,8024.08,0,4.08,12.0,2016-02-20 07:00:09,"44850 Dennis Meadows Suite 044 Dariusland, IL 05918","Hunter, Reyes and Rivera",1
0.5453105839,0.4546894161,1,0.5,1,APPROVED,Theresa Berry,52.0,8563.24,0,5.29,11.0,2010-03-24 16:20:07,"1733 Theresa Port North Jason, WY 15864",Jones LLC,1
0.1607363528,0.8392636472,0,0.5,1,APPROVED,Robin Burke,40.0,9403.58,1,6.01,9.0,2014-07-31 01:07:38,"7225 James Corners Christopherville, OH 19625-4299",Patel PLC,1
0.58893619,0.41106381,1,0.5,1,APPROVED,Todd Thompson,38.0,12520.53,1,6.3,11.0,2008-10-19 09:18:12,"2779 Dalton Ports New James, AS 59322-0419","Guzman, Johnson and Berry",1
0.1307793501,0.8692206499,0,0.5,1,APPROVED,John Thomas,53.0,13655.59,1,2.05,10.0,2013-12-24 14:28:20,"342 Jensen Dam West Kylehaven, PW 89702-0398","Sanchez, Carter and Gross",1
0.5157087399,0.4842912601,1,0.5,1,APPROVED,Timothy Johnston,41.0,12680.46,0,5.92,11.0,2010-03-29 17:41:53,"44906 Walker Plaza Sanchezshire, AK 41013-8944","Cole, Shelton and Atkinson",1
0.5021450335,0.4978549665,1,0.5,1,APPROVED,Sarah Holloway,45.0,8429.65,1,7.1,10.0,2006-08-26 16:40:13,"099 Lopez Crescent Jamesport, OK 31273",Harrison-Ferrell,1
0.4008805375,0.5991194625,0,0.5,1,APPROVED,Scott Chambers,44.0,11424.0,1,5.98,10.0,2011-11-16 06:51:37,"9525 Allen Camp Apt. 362 West Dawnmouth, GA 04347","Davis, Cole and Thompson",1
0.1099934851,0.8900065149,0,0.5,1,APPROVED,Kathryn Ponce,46.0,13725.55,0,5.09,9.0,2006-03-04 00:11:53,"43798 Jones Garden Apt. 027 Monicashire, ND 82344","Cochran, Molina and Higgins",1
0.3549845916,0.6450154084,0,0.5,1,APPROVED,Patrick Robinson,47.0,7396.1,0,4.11,11.0,2014-03-10 06:51:20,"753 Sara Fall Lake Erinmouth, OK 02340-4525",Tran-Rodriguez,1
0.8984677843,0.1015322157,1,0.5,1,APPROVED,Laurie Green,51.0,8100.43,1,4.92,13.0,2006-01-14 01:47:07,"74631 Kyle Mountain Apt. 268 Andrewmouth, MI 55255","Callahan, Hinton and Murray",1
0.2901398429,0.7098601571,0,0.5,1,APPROVED,Amber Hobbs,43.0,10400.88,0,5.84,10.0,2013-03-28 20:04:50,"8044 Bates Spring Jonesborough, LA 63728","Nelson, Ray and Johnson",1
0.9112326784,0.0887673216,1,0.5,1,APPROVED,Tina King,40.0,8625.96,1,6.27,13.0,2008-08-07 01:50:30,"80203 Brandon Hill Apt. 353 New Luisport, VA 65076",Franco-Jones,1
0.4647319299,0.5352680701,0,0.5,1,APPROVED,David Hess,41.0,5192.38,1,4.86,11.0,2015-11-06 03:12:21,"PSC 1062, Box 1827 APO AA 46087-7414",Johnson-Walker,1
0.2697157381,0.7302842619,0,0.5,1,APPROVED,Jose Lee,45.0,12455.38,0,3.26,11.0,2015-02-24 14:54:33,"036 Hunter Heights Suite 701 New Rickey, HI 95539-9622",Nelson LLC,1
0.9818076296,0.0181923704,1,0.5,1,APPROVED,Brian Young,49.0,10522.21,0,7.25,14.0,2014-11-08 00:40:36,Unit 6711 Box 7964 DPO AA 27820,Munoz Ltd,1
0.664934575,0.335065425,1,0.5,1,APPROVED,Erica Flores,38.0,9624.18,0,5.53,12.0,2008-12-22 06:09:17,"421 Kevin Shoal Grahamport, RI 11504",Carey Ltd,1
0.3961236202,0.6038763798,0,0.5,1,APPROVED,Brenda Hall,37.0,11628.1,1,6.83,10.0,2010-02-20 16:08:12,"1877 Tara Streets West Sarah, MN 39500",Rosales Inc,1
0.4995481591,0.5004518409,0,0.5,1,APPROVED,Dakota Williams,41.0,13190.3,1,7.38,10.0,2012-09-12 14:15:03,"22194 Hernandez Roads Hubbardville, MH 97331-5191","Hughes, Evans and Richardson",1
0.8604978754,0.1395021246,1,0.5,1,APPROVED,Tammy Reed,49.0,13173.8,1,6.36,12.0,2007-10-09 18:07:48,"3067 Lindsay Road Apt. 683 Port Jonathan, NY 84626-8850",Russo-Rivas,1
0.090976319,0.909023681,0,0.5,1,APPROVED,Devin Cook,29.0,8688.17,1,5.7,9.0,2015-02-05 11:35:45,"237 Antonio Lock Lake Christianville, IN 42022",Fleming LLC,1
0.6411956406,0.3588043594,1,0.5,1,APPROVED,Joseph Mitchell,40.0,11434.61,1,8.51,10.0,2009-11-17 23:38:40,"3422 Zhang View Estradabury, SC 66970-2923",Lee LLC,1
0.462739519,0.537260481,0,0.5,1,APPROVED,Brett Allen MD,45.0,12309.39,1,4.57,11.0,2008-02-07 15:42:36,"03559 Rodriguez Prairie Apt. 826 Rachelfurt, ND 85441",Brown-Rangel,1
0.1732879674,0.8267120326,0,0.5,1,APPROVED,Daniel Bates,30.0,10744.14,1,7.16,9.0,2008-09-13 11:53:42,"488 Lewis Village Crawfordborough, WY 43563",Hunt PLC,1
0.0216462764,0.9783537236,0,0.5,1,APPROVED,Chelsea Ward,43.0,12104.25,0,5.86,7.0,2009-09-27 04:12:53,"5279 Grace Mountain Loriland, IL 83900","Hatfield, Johnson and George",1
0.5213486743,0.4786513257,1,0.5,1,APPROVED,Ryan Richardson,45.0,11599.27,1,4.78,11.0,2006-11-22 21:46:31,"31574 Sarah Pine Apt. 359 Harryside, NJ 02405-8870",Cross-Jones,1
0.5904645308,0.4095354692,1,0.5,1,APPROVED,Stephen Callahan,42.0,6635.19,0,6.68,11.0,2006-07-24 18:29:33,USS Booth FPO AP 73462,Shaw-Rivera,1
0.7631186916,0.2368813084,1,0.5,1,APPROVED,Mrs. Melinda Davila,51.0,10978.16,1,6.95,11.0,2013-08-10 02:49:37,"5843 Byrd Corner Monicaport, SC 44357",Perry and Sons,1
0.7336990576,0.2663009424,1,0.5,1,APPROVED,Carla Howell,44.0,13743.27,0,7.8,11.0,2011-06-11 00:48:58,"55353 Barker Burg East Willietown, HI 30805","Edwards, Webster and Gross",1
0.9540895168,0.0459104832,1,0.5,1,APPROVED,Eric Kelley,43.0,10271.19,1,5.31,14.0,2011-07-19 10:28:53,"98472 Meghan Mall Port Lauren, LA 49472","Santos, Hoffman and Harper",1
0.0246166313,0.9753833687,0,0.5,1,APPROVED,Randy Hayes,43.0,6715.23,0,4.16,8.0,2007-02-17 15:33:59,"PSC 1001, Box 5072 APO AP 43490",Taylor-Vaughn,1
0.1616427926,0.8383572074,0,0.5,1,APPROVED,Jeffrey Glenn,50.0,10199.44,0,5.79,9.0,2012-10-09 17:29:23,"6431 Caldwell Spring Port Gregorymouth, VI 76545-9829",Medina-Dominguez,1
0.3502386515,0.6497613485,0,0.5,1,APPROVED,Megan Tucker,38.0,11386.56,0,8.82,9.0,2011-11-20 17:11:17,"63080 Christopher Fork Suite 353 Jacobshire, TN 98279-1399",Taylor-Guerrero,1
0.2731464753,0.7268535247,0,0.5,1,APPROVED,Michael Acosta,49.0,12112.53,0,7.31,9.0,2012-03-03 18:57:24,"73511 James Skyway Apt. 750 Port Scott, FM 96780",Ward-Bennett,1
0.6933162119,0.3066837881,1,0.5,1,APPROVED,Eileen Reyes,34.0,9228.84,1,5.29,12.0,2006-11-25 12:38:21,"0235 Taylor Lakes Suite 365 East Michaelfort, AL 61409-7098",Curtis PLC,1
0.0165734931,0.9834265069,0,0.5,1,APPROVED,Mr. Jerome Dawson,36.0,6330.43,1,5.43,7.0,2010-08-24 00:52:55,"675 Jones Viaduct Samanthastad, MT 88716-7510",Oconnell LLC,1
0.9557863569,0.0442136431,1,0.5,1,APPROVED,Katie Sutton,40.0,11611.51,1,5.64,14.0,2010-06-19 16:02:16,"564 Amanda Park Apt. 388 Watsonport, NJ 61471-7559",Patrick Inc,1
0.6531319027,0.3468680973,1,0.5,1,APPROVED,Dr. Kylie Mccann,37.0,8397.41,0,5.59,12.0,2008-06-07 21:35:55,"150 Steven Center Port Randallshire, SC 42333-2817",Shepherd LLC,1
0.1652947624,0.8347052376,0,0.5,1,APPROVED,Jose Kelly,49.0,9714.47,0,5.7,9.0,2014-11-04 04:05:34,"205 Lewis Ports Suite 146 New Lukehaven, NE 61616","Fisher, Torres and Ramsey",1
0.3644973666,0.6355026334,0,0.5,1,APPROVED,Nicholas Levy,51.0,11602.11,1,5.3,10.0,2012-04-06 10:12:15,"668 Walker Trace Apt. 580 Samanthaside, FL 56884",Pruitt-Thompson,1
0.5513656935,0.4486343065,1,0.5,1,APPROVED,Jennifer Carrillo,35.0,12871.79,0,4.64,12.0,2006-03-25 01:04:53,"659 Robertson Lake Lake Peggy, CT 28993",Ingram-Swanson,1
0.8494114934,0.1505885066,1,0.5,1,APPROVED,April Freeman,41.0,9923.79,1,4.75,13.0,2011-08-28 03:41:36,"16914 Oconnell Forge Apt. 477 Atkinsonmouth, MD 32666","Larson, Ross and Ward",1
0.3600109198,0.6399890802,0,0.5,1,APPROVED,Hunter Rivera,26.0,8787.39,1,5.42,11.0,2014-12-18 19:58:36,"233 Mark Vista New Russellbury, FL 08810","Tate, Hall and Moreno",1
0.3969211587,0.6030788413,0,0.5,1,APPROVED,Travis Ellis,46.0,12200.31,0,6.62,10.0,2010-10-20 00:12:32,"730 Doris Drive Suite 569 Port Adam, KY 42352",Ramirez-Mendoza,1
0.6295672314,0.3704327686,1,0.5,1,APPROVED,Tommy Frey,38.0,8825.87,1,8.97,10.0,2008-01-06 09:57:34,"200 Craig Spur Suite 465 Wadeton, NC 47363",Garcia-Owens,1
0.2366222582,0.7633777418,0,0.5,1,APPROVED,Nicole Friedman,44.0,8615.52,0,7.39,9.0,2006-10-19 23:02:34,"77755 John River Kendrafurt, MP 02175-9994","Miranda, Summers and Moran",1
0.803391322,0.196608678,1,0.5,1,APPROVED,James Newman,35.0,9766.95,1,4.59,13.0,2008-02-29 14:17:57,"1317 Dillon Gardens Michaelville, ME 91569-7889","Griffin, Tucker and Lee",1
0.8816339557,0.1183660443,1,0.5,1,APPROVED,Stephanie Gonzales,36.0,11550.29,0,6.46,13.0,2014-01-13 05:18:56,"437 Alex Glens Melindaburgh, ID 78010-8240",Young-Dunn,1
0.4402396722,0.5597603278,0,0.5,1,APPROVED,Mary Aguilar,50.0,6244.75,0,4.64,11.0,2015-12-18 13:28:17,Unit 6345 Box 0137 DPO AP 41134-6292,Lee-Aguilar,1
0.1347613855,0.8652386145,0,0.5,1,APPROVED,Jordan Owens,45.0,9459.52,0,5.72,9.0,2015-07-30 02:34:43,"018 Kristy Mountain Lindseymouth, LA 51400",Reyes PLC,1
0.1014698069,0.8985301931,0,0.5,1,APPROVED,Devin Wilson,46.0,11222.48,0,4.92,9.0,2011-02-18 18:11:37,"97426 Carrie Stravenue East Cassandrafort, WV 23196",Cooke Ltd,1
